cluster_id,n_licenses,counties,total_enforcement,total_investigations,total_civil_fines
OP001,2,Pierce,0,0,0
OP002,2,King,0,0,0
OP003,2,King,1,1,1
OP004,4,King,0,0,0
OP005,2,King,0,0,0
OP006,2,Pierce,0,0,0
OP007,2,King,0,0,0
OP008,2,King,3,2,0
OP009,2,King,0,0,0
OP010,3,King,0,0,0
OP011,3,Pierce,0,0,0
OP012,2,King,0,0,0
OP013,2,King,0,0,0
OP014,3,King,0,0,0
OP015,3,King,0,0,0
OP016,2,Pierce,0,0,0
OP017,4,King,3,2,3
OP018,2,King,0,0,0
OP019,3,King,2,2,2
OP020,2,King,0,0,0
OP021,2,King,0,0,0
OP022,2,King,0,1,0
OP023,2,King,0,0,0
OP024,2,Spokane,0,0,0
OP025,2,King,0,0,0
OP026,2,Pierce,0,1,0
OP027,3,King,0,0,0
OP028,2,Pierce,0,1,0
OP029,2,Pierce,0,0,0
OP030,2,King,1,0,1
OP031,2,Pierce,0,0,0
OP032,2,Pierce,0,0,0
OP033,2,Pierce,0,1,0
OP034,2,"King,Pierce",0,0,0
OP035,2,King,0,1,0
OP036,2,Pierce,0,0,0
OP037,2,Pierce,0,0,0
OP038,2,King,0,1,0
OP039,2,King,0,0,0
OP040,2,King,0,0,0
OP041,2,King,0,2,0
OP042,2,Pierce,0,0,0
OP043,4,King,0,0,0
OP044,2,Pierce,0,0,0
OP045,3,Pierce,0,2,0
OP046,4,Pierce,0,3,0
OP047,2,King,0,0,0
OP048,3,Pierce,2,1,2
OP049,2,Pierce,0,0,0
OP050,2,Pierce,3,1,0
OP051,2,King,0,0,0
OP052,2,King,0,0,0
OP053,2,Pierce,0,0,0
OP054,2,King,0,0,0
OP055,2,King,0,0,0
OP056,2,King,0,0,0
OP057,2,King,0,0,0
OP058,3,King,0,2,0
OP059,2,King,0,0,0
OP060,2,King,0,0,0
OP061,3,King,0,0,0
OP062,2,King,0,2,0
OP063,2,Spokane,0,0,0
OP064,2,Spokane,0,2,0
OP065,2,Spokane,0,0,0
OP066,2,Spokane,0,0,0
OP067,2,Spokane,0,0,0
OP068,4,Spokane,0,0,0
OP069,2,Spokane,0,0,0
OP070,2,Spokane,0,0,0
OP071,2,Spokane,0,1,0
OP072,2,"King,Pierce",0,1,0
