cluster_id,corroboration_linkage_method,corroboration_status
OP001,DSHS Primary Contact,Corroborated
OP002,CCFS Registered Agent or Principal-Office Address,Corroborated
OP003,DSHS Primary Contact,Corroborated
OP004,CCFS Registered Agent or Principal-Office Address,Corroborated
OP005,CCFS Registered Agent or Principal-Office Address,Corroborated
OP006,DSHS Primary Contact,Corroborated
OP007,DSHS Primary Contact,Corroborated
OP008,CCFS Registered Agent or Principal-Office Address,Corroborated
OP009,CCFS Registered Agent or Principal-Office Address,Corroborated
OP010,DSHS Primary Contact,Corroborated
OP011,DSHS Primary Contact,Corroborated
OP012,DSHS Primary Contact,Corroborated
OP013,DSHS Primary Contact,Corroborated
OP014,DSHS Primary Contact,Corroborated
OP015,CCFS Registered Agent or Principal-Office Address,Corroborated
OP016,CCFS Governor (Owner/Member),Corroborated
OP017,CCFS Governor (Owner/Member),Corroborated
OP018,CCFS Registered Agent or Principal-Office Address,Corroborated
OP019,DSHS Primary Contact,Corroborated
OP020,DSHS Primary Contact,Corroborated
OP021,CCFS Registered Agent or Principal-Office Address,Corroborated
OP022,DSHS Primary Contact,Corroborated
OP023,CCFS Governor (Owner/Member),Corroborated
OP024,CCFS Governor (Owner/Member),Corroborated
OP025,CCFS Registered Agent or Principal-Office Address,Corroborated
OP026,DSHS Primary Contact,Corroborated
OP027,DSHS Primary Contact,Corroborated
OP028,CCFS Registered Agent or Principal-Office Address,Corroborated
OP029,CCFS Governor (Owner/Member),Corroborated
OP030,DSHS Primary Contact,Corroborated
OP031,DSHS Primary Contact,Corroborated
OP032,CCFS Governor (Owner/Member),Corroborated
OP033,DSHS Primary Contact,Corroborated
OP034,None found,Uncorroborated
OP035,DSHS Primary Contact,Corroborated
OP036,DSHS Primary Contact,Corroborated
OP037,DSHS Primary Contact,Corroborated
OP038,CCFS Registered Agent or Principal-Office Address,Corroborated
OP039,CCFS Registered Agent or Principal-Office Address,Corroborated
OP040,DSHS Primary Contact,Corroborated
OP041,DSHS Primary Contact,Corroborated
OP042,DSHS Primary Contact,Corroborated
OP043,DSHS Primary Contact,Corroborated
OP044,DSHS Off-Site Mailing Address,Corroborated
OP045,DSHS Primary Contact,Corroborated
OP046,CCFS Registered Agent or Principal-Office Address,Corroborated
OP047,DSHS Primary Contact,Corroborated
OP048,DSHS Primary Contact,Corroborated
OP049,DSHS Primary Contact,Corroborated
OP050,DSHS Primary Contact,Corroborated
OP051,CCFS Governor (Owner/Member),Corroborated
OP052,DSHS Primary Contact,Corroborated
OP053,DSHS Primary Contact,Corroborated
OP054,CCFS Governor (Owner/Member),Corroborated
OP055,DSHS Primary Contact,Corroborated
OP056,DSHS Primary Contact,Corroborated
OP057,CCFS Governor (Owner/Member),Corroborated
OP058,CCFS Governor (Owner/Member),Corroborated
OP059,DSHS Primary Contact,Corroborated
OP060,DSHS Primary Contact,Corroborated
OP061,DSHS Primary Contact,Corroborated
OP062,DSHS Primary Contact,Corroborated
OP063,CCFS Governor (Owner/Member),Corroborated
OP064,DSHS Primary Contact,Corroborated
OP065,DSHS Primary Contact,Corroborated
OP066,None found,Uncorroborated
OP067,DSHS Primary Contact,Corroborated
OP068,DSHS Primary Contact,Corroborated
OP069,DSHS Primary Contact,Corroborated
OP070,CCFS Governor (Owner/Member),Corroborated
OP071,DSHS Primary Contact,Corroborated
OP072,CCFS Registered Agent or Principal-Office Address,Corroborated
